2025-02-17 14:45:45,466 INFO    MainThread:2851723 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_setup.py:_flush():68] Configure stats pid to 2851723
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_setup.py:_flush():68] Loading settings from /home/fathinah.izzati/.config/wandb/settings
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_setup.py:_flush():68] Loading settings from /l/users/fathinah.izzati/expotion_new/wandb/settings
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /l/users/fathinah.izzati/expotion_new/wandb/offline-run-20250217_144545-32gqmyyr/logs/debug.log
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /l/users/fathinah.izzati/expotion_new/wandb/offline-run-20250217_144545-32gqmyyr/logs/debug-internal.log
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_init.py:init():756] calling init triggers
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'epochs': 20, 'batch_size': 20, 'learning_rate': 0.01, '_wandb': {}}
2025-02-17 14:45:45,467 INFO    MainThread:2851723 [wandb_init.py:init():789] starting backend
2025-02-17 14:45:45,678 INFO    MainThread:2851723 [wandb_init.py:init():793] sending inform_init request
2025-02-17 14:45:45,684 INFO    MainThread:2851723 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-17 14:45:45,684 INFO    MainThread:2851723 [wandb_init.py:init():808] backend started and connected
2025-02-17 14:45:45,686 INFO    MainThread:2851723 [wandb_init.py:init():901] updated telemetry
2025-02-17 14:45:45,686 INFO    MainThread:2851723 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-17 14:45:45,801 INFO    MainThread:2851723 [wandb_init.py:init():994] starting run threads in backend
2025-02-17 14:45:45,964 INFO    MainThread:2851723 [wandb_run.py:_console_start():2385] atexit reg
2025-02-17 14:45:45,964 INFO    MainThread:2851723 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-17 14:45:45,965 INFO    MainThread:2851723 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-17 14:45:45,965 INFO    MainThread:2851723 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-17 14:45:45,967 INFO    MainThread:2851723 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-17 14:45:46,013 WARNING MsgRouterThr:2851723 [router.py:message_loop():75] message_loop has been closed
